Year,Detached,Semi-Detached,Terraced,Flats/Maisonettes,Other
1995,191119,238537,254328,111508,175
1996,243496,284359,300589,134866,207
1997,272519,311435,338875,169097,256
1998,255472,296471,328166,167988,248
1999,298080,332057,367464,194062,318
2000,269738,309950,356612,190214,308
2001,293018,343366,401290,205183,335
2002,309596,365157,441821,232604,396
2003,267987,338613,423272,225429,460
2004,268201,337831,421049,241451,457
2005,211086,281347,354854,212844,372
2006,272582,355073,426830,269950,471
2007,253989,336905,402930,277441,447
2008,130461,171062,201503,145719,264
2009,148813,176285,182643,117236,198
2010,159843,184029,193746,125009,190
2011,156745,186994,195444,121250,183
2012,162723,183782,197788,123381,174
2013,195493,217784,237436,154536,4020
2014,229673,252617,289047,197680,11800
2015,230090,249909,289188,195802,16889
2016Q1,33012,38486,46507,27808,2272
